.VERSION 1.0
27 0
32 0
44 3
49 5
54 8
60 12
70 20
73 27
78 32
84 37
85 41
90 49
94 60
94 63
94 68
94 75
94 85
94 90
92 94
90 99
84 111
78 114
75 116
70 120
63 120
46 116
39 113
34 109
29 106
.PEN_UP

.SEGMENT CHARACTER 1 OK "0"

.PEN_DOWN
44 120
41 120
41 120
34 113
31 110
25 104
22 101
18 97
9 82
9 78
3 69
0 63
0 56
0 47
0 41
3 31
6 28
9 18
12 15
15 12
25 6
28 3
37 0
44 0
50 0
63 0
69 3
91 9
101 12
116 18
120 22
126 28
138 34
142 37
151 47
154 53
154 63
154 69
154 75
154 82
154 88
148 97
138 104
135 107
126 110
120 113
97 113
91 113
85 113
72 110
66 110
50 104
44 104
34 97
31 97
25 94
15 88
12 88
9 82
9 78
.PEN_UP

.SEGMENT CHARACTER 2 OK "0"

.PEN_DOWN
73 120
70 120
65 120
62 120
57 120
52 117
46 114
41 114
33 109
28 106
26 101
20 96
13 86
7 78
5 70
2 62
0 46
0 39
2 33
5 26
10 18
15 13
20 10
26 5
31 2
41 0
49 0
54 0
65 2
73 2
83 5
96 13
106 18
112 20
122 28
127 33
133 39
138 46
143 52
146 57
146 62
146 70
146 73
143 80
140 86
135 91
130 96
120 99
112 104
99 104
86 104
75 104
65 104
57 101
52 99
46 99
39 91
31 88
26 86
23 78
.PEN_UP

.SEGMENT CHARACTER 3 OK "0"

.PEN_DOWN
111 96
109 100
105 105
100 109
93 114
89 116
80 120
75 120
59 116
50 114
39 107
25 98
19 93
12 84
7 77
1 62
0 57
0 48
1 39
5 32
7 28
14 23
19 17
25 14
35 10
42 8
51 5
59 3
73 1
82 0
96 0
107 3
114 3
127 7
132 8
143 14
146 19
155 26
159 32
162 37
164 44
168 51
168 59
166 66
164 75
164 78
161 87
157 91
150 96
146 100
136 105
125 109
114 112
103 116
89 118
77 120
62 120
50 120
42 120
32 116
.PEN_UP

.SEGMENT CHARACTER 4 OK "0"

.PEN_DOWN
113 113
106 116
102 120
96 120
89 120
85 120
78 120
72 116
61 116
54 113
44 106
37 102
27 96
20 89
13 82
10 78
3 65
3 58
0 51
0 44
0 37
0 30
0 24
6 17
10 10
17 6
24 3
37 0
44 0
54 0
72 0
89 0
99 0
109 3
126 6
137 10
147 17
157 24
164 30
174 41
178 48
178 54
181 65
181 72
181 82
181 89
171 99
168 106
157 109
150 109
140 113
130 113
106 109
96 109
72 102
58 99
51 96
37 92
30 89
27 85
.PEN_UP

.SEGMENT CHARACTER 5 OK "0"

.PEN_DOWN
72 114
70 116
68 118
64 118
60 118
57 120
49 118
45 118
31 114
27 112
19 108
15 106
9 100
7 96
1 84
1 80
0 70
0 60
0 55
1 45
1 39
7 25
11 23
17 13
27 7
39 3
45 0
57 0
62 0
78 0
94 1
110 5
123 9
131 11
141 17
147 21
159 33
163 39
167 51
169 57
171 68
171 74
167 90
163 96
157 104
153 106
141 116
129 120
121 120
100 120
92 120
78 120
70 118
49 112
43 110
29 104
25 102
15 94
13 90
11 86
.PEN_UP

.SEGMENT CHARACTER 6 OK "0"

.PEN_DOWN
49 111
49 111
49 111
44 111
42 111
38 109
35 107
31 105
26 102
21 97
15 90
14 86
10 81
7 72
7 67
1 51
1 45
0 35
0 30
0 26
0 17
1 14
8 5
10 3
14 3
22 0
26 0
37 0
42 1
60 5
65 8
72 10
82 17
88 21
100 28
111 38
114 44
123 56
127 63
130 75
132 81
134 97
132 102
130 105
120 114
116 118
104 120
97 120
82 118
67 116
60 114
40 105
33 102
22 95
19 91
15 86
10 74
8 70
7 63
7 60
.PEN_UP

.SEGMENT CHARACTER 7 OK "0"

.PEN_DOWN
32 109
28 103
26 99
22 93
18 87
14 81
10 75
8 69
2 56
2 50
0 38
0 32
0 26
0 22
2 18
2 14
6 8
10 6
16 0
20 0
22 0
28 0
36 0
48 4
56 6
65 8
79 14
85 20
91 24
97 28
103 34
113 48
117 56
122 65
124 73
126 81
126 95
124 99
120 109
113 113
109 115
103 120
95 120
87 120
71 120
63 117
46 113
38 109
30 105
24 101
20 97
16 93
12 87
6 69
4 63
4 56
6 50
6 46
10 40
10 36
.PEN_UP

.SEGMENT CHARACTER 8 OK "0"

.PEN_DOWN
56 105
54 105
51 105
47 105
47 105
42 105
40 105
35 103
32 101
28 96
23 91
21 89
14 82
11 75
9 72
4 65
4 58
2 56
0 44
0 37
0 32
0 30
2 25
7 16
7 14
11 9
16 7
21 4
32 2
40 0
49 0
54 2
61 2
72 7
75 9
84 14
94 23
96 25
103 35
110 51
115 61
117 65
117 80
115 91
115 94
108 105
103 110
98 115
87 120
77 120
65 117
54 117
42 110
30 105
21 98
11 91
4 82
2 77
0 68
2 58
.PEN_UP

.SEGMENT CHARACTER 9 OK "0"

.PEN_DOWN
21 82
19 78
17 74
15 69
10 63
10 61
4 43
2 39
2 34
2 30
2 28
2 19
4 17
4 13
8 6
10 4
13 4
19 0
21 0
28 0
32 0
37 0
58 6
65 6
74 10
80 13
89 17
96 21
109 32
117 39
126 45
130 54
135 61
141 74
144 85
144 89
141 96
139 98
137 102
126 111
122 113
115 117
100 120
93 120
76 120
67 120
56 117
50 113
41 111
32 106
15 91
10 85
8 78
6 72
4 67
0 50
0 43
2 39
4 34
6 32
.PEN_UP

.SEGMENT CHARACTER 10 OK "1"

.PEN_DOWN
20 120
20 120
20 115
20 115
20 113
18 110
18 108
18 106
16 103
16 101
16 96
16 96
16 94
16 90
13 85
13 85
13 83
13 83
13 78
11 78
11 73
11 73
11 71
9 69
9 66
9 62
9 60
6 57
6 55
6 48
6 46
4 43
4 41
4 39
4 36
4 34
4 30
4 30
4 25
4 23
4 18
2 18
2 13
2 13
2 11
2 9
0 6
0 4
0 4
0 0
.PEN_UP

.SEGMENT CHARACTER 11 OK "1"

.PEN_DOWN
2 119
2 117
0 117
0 114
0 111
0 108
0 103
0 100
0 94
0 92
0 86
0 83
0 78
0 66
0 58
0 53
0 47
0 41
0 36
0 30
0 25
0 22
0 16
0 13
0 8
0 2
0 0
0 0
2 0
2 2
0 0
.PEN_UP

.SEGMENT CHARACTER 12 OK "1"

.PEN_DOWN
15 120
15 120
15 114
15 111
12 108
12 102
12 99
9 96
9 90
9 84
6 78
6 72
6 66
3 57
3 51
3 42
3 36
3 30
3 24
3 18
3 15
3 12
0 9
3 6
3 3
0 0
.PEN_UP

.SEGMENT CHARACTER 13 OK "1"

.PEN_DOWN
6 117
9 119
9 117
9 115
9 113
9 110
9 108
6 106
6 101
6 99
6 95
6 92
4 90
4 86
4 83
4 81
4 76
4 72
4 70
4 67
4 65
4 63
4 61
4 58
4 56
2 54
2 52
2 49
2 47
2 45
2 43
2 40
2 38
2 36
2 33
2 31
2 29
2 29
2 24
2 22
2 18
0 18
0 13
0 11
0 11
0 6
0 6
0 4
0 2
0 0
.PEN_UP

.SEGMENT CHARACTER 14 OK "1"

.PEN_DOWN
17 117
17 120
17 117
17 115
17 112
17 110
15 107
15 102
12 97
12 95
10 82
10 80
10 75
7 67
7 62
7 57
7 55
7 50
7 45
5 40
5 37
5 30
5 27
5 25
5 22
5 17
5 15
5 12
5 10
5 7
5 5
2 2
2 2
0 0
.PEN_UP

.SEGMENT CHARACTER 15 OK "1"

.PEN_DOWN
24 120
22 118
20 116
20 114
18 113
17 109
15 104
15 101
13 96
12 90
10 80
8 73
8 68
6 63
6 56
6 51
5 46
3 42
3 37
3 29
3 24
3 20
3 18
1 15
1 12
1 10
1 6
1 5
1 5
1 1
0 0
.PEN_UP

.SEGMENT CHARACTER 16 OK "1"

.PEN_DOWN
17 118
17 120
17 120
16 118
16 118
16 114
14 112
14 109
14 105
12 100
12 94
12 89
10 82
10 77
10 68
8 55
7 48
7 41
5 35
3 30
3 25
3 17
1 14
1 10
1 5
1 3
1 1
1 0
0 1
0 3
0 3
.PEN_UP

.SEGMENT CHARACTER 17 OK "1"

.PEN_DOWN
20 120
18 118
18 116
18 114
17 111
17 109
15 104
15 101
13 92
13 87
13 82
12 77
12 72
12 66
12 60
10 56
8 49
8 39
8 34
6 29
6 25
6 20
5 17
5 12
5 8
3 6
3 3
3 1
3 0
3 1
1 3
1 5
1 5
0 5
.PEN_UP

.SEGMENT CHARACTER 18 OK "1"

.PEN_DOWN
13 120
13 118
13 114
13 112
13 110
13 106
13 101
13 97
11 93
11 88
11 82
11 71
9 65
9 60
7 56
7 50
7 45
5 37
5 28
5 22
3 20
3 16
3 13
1 11
1 7
1 5
1 3
1 1
0 0
.PEN_UP

.SEGMENT CHARACTER 19 OK "1"

.PEN_DOWN
8 120
8 117
8 117
6 113
6 113
6 109
4 107
4 103
4 98
4 92
2 90
2 82
2 75
2 71
2 65
2 58
0 52
0 48
0 42
0 37
0 31
0 25
0 21
0 14
0 10
0 10
0 8
0 6
0 4
0 2
0 0
.PEN_UP

.SEGMENT CHARACTER 20 OK "2"

.PEN_DOWN
0 87
0 90
2 96
9 99
13 103
18 108
32 115
43 117
55 120
62 120
64 120
73 120
78 115
83 113
85 110
90 106
92 96
94 90
94 80
92 78
90 69
83 57
76 48
71 39
66 36
60 30
48 18
43 9
41 6
36 2
32 0
30 2
30 6
32 9
36 13
41 18
50 23
53 25
57 27
64 27
69 30
76 25
80 25
87 20
92 20
101 16
108 13
110 13
117 11
124 11
131 11
136 11
143 11
150 11
156 11
163 13
166 13
170 13
175 13
177 11
.PEN_UP

.SEGMENT CHARACTER 21 OK "2"

.PEN_DOWN
17 100
19 106
21 110
27 114
30 114
40 118
42 120
48 120
52 120
56 118
58 116
61 114
65 110
67 106
69 100
69 96
69 90
67 85
65 79
63 75
60 65
56 60
52 52
46 44
40 38
34 32
30 25
27 19
23 13
17 11
13 9
11 5
7 3
3 1
0 0
1 1
7 5
11 7
15 7
21 9
25 9
30 9
36 9
42 9
46 11
52 11
56 11
61 11
65 11
71 9
75 9
81 7
90 7
94 5
104 3
112 3
118 3
121 3
129 3
131 3
.PEN_UP

.SEGMENT CHARACTER 22 OK "2"

.PEN_DOWN
2 87
2 89
6 93
12 97
16 99
20 103
26 107
34 109
42 113
50 117
54 117
63 120
71 120
75 120
79 120
81 120
85 115
85 111
83 105
79 97
77 91
69 81
58 67
48 52
40 40
38 36
28 24
22 16
18 12
12 6
12 4
6 2
2 0
0 0
0 4
0 8
2 12
6 16
8 18
12 20
14 20
20 22
24 22
30 22
34 22
36 20
44 18
48 14
54 12
63 10
67 10
73 10
83 10
91 12
101 12
103 12
109 14
113 14
115 14
120 14
.PEN_UP

.SEGMENT CHARACTER 23 OK "2"

.PEN_DOWN
4 69
6 71
8 75
14 82
21 88
35 98
44 103
48 107
56 111
67 115
73 120
77 120
82 120
84 120
86 117
86 113
84 107
84 103
80 94
77 92
73 84
63 71
54 61
48 50
40 42
35 37
27 27
18 16
14 10
6 2
2 0
0 0
0 0
4 4
8 6
12 10
18 12
18 12
23 14
27 14
31 14
35 12
40 12
42 12
46 10
50 10
58 6
63 6
69 6
71 6
80 4
86 4
96 2
103 2
107 2
111 2
115 2
122 2
126 2
128 2
.PEN_UP

.SEGMENT CHARACTER 24 OK "2"

.PEN_DOWN
36 92
36 96
41 100
43 101
49 105
52 107
63 110
72 114
78 116
83 116
87 120
90 120
94 118
94 116
94 112
94 110
92 103
89 98
85 89
76 78
72 70
60 56
56 50
45 40
32 27
27 21
21 16
18 12
12 9
9 7
3 1
1 1
0 0
0 1
3 1
7 3
10 7
14 7
20 9
23 9
32 10
36 10
41 10
47 9
49 7
54 7
58 5
63 3
69 1
72 1
76 1
80 1
83 0
87 0
92 1
103 1
107 1
114 3
116 3
120 3
.PEN_UP

.SEGMENT CHARACTER 25 OK "2"

.PEN_DOWN
0 89
1 91
7 96
16 100
26 105
32 109
50 114
60 118
69 118
77 120
78 120
82 118
85 114
85 109
85 105
84 100
82 91
78 84
71 71
68 66
62 59
55 50
50 41
44 35
41 30
34 25
30 19
25 16
21 12
17 10
12 7
10 5
7 3
8 5
12 7
16 10
21 12
28 12
35 16
41 16
46 16
51 16
55 16
59 14
62 12
68 8
71 7
73 5
78 3
84 1
89 1
93 0
98 0
103 0
112 1
118 1
120 1
123 1
127 1
128 3
.PEN_UP

.SEGMENT CHARACTER 26 OK "2"

.PEN_DOWN
29 101
32 102
34 106
37 108
44 109
48 111
60 114
68 116
72 116
77 118
78 120
80 120
82 114
82 114
80 109
78 106
77 99
73 96
70 87
63 77
56 66
51 58
48 53
42 44
36 36
32 30
24 18
22 17
17 10
10 5
6 3
1 1
1 0
0 3
1 5
3 8
8 10
10 10
15 13
17 13
25 13
29 13
36 13
41 13
44 13
54 12
58 10
63 10
68 8
72 8
77 5
78 5
87 5
90 5
94 5
99 5
102 5
106 6
108 6
111 8
.PEN_UP

.SEGMENT CHARACTER 27 OK "2"

.PEN_DOWN
16 90
18 90
20 94
24 96
29 99
38 103
46 105
59 112
64 114
73 116
86 120
90 120
94 120
96 120
96 118
96 112
94 108
90 103
83 92
79 86
66 70
62 64
51 51
42 42
36 36
25 24
20 16
16 12
11 7
7 3
3 0
0 0
0 1
0 7
1 7
5 12
11 14
12 16
20 18
29 20
31 20
36 20
38 20
44 16
48 14
51 12
55 11
57 9
66 7
72 7
75 7
84 7
92 7
94 7
99 7
103 7
110 9
112 9
114 9
116 11
.PEN_UP

.SEGMENT CHARACTER 28 OK "2"

.PEN_DOWN
19 97
20 100
24 104
25 105
30 110
40 115
44 116
51 118
57 120
59 120
65 120
68 116
70 115
72 110
72 105
72 104
70 97
67 91
64 83
59 76
54 67
52 64
46 56
38 44
36 40
30 33
24 25
20 22
16 16
8 9
8 8
1 3
0 0
0 0
0 1
3 4
4 8
8 11
14 12
20 16
25 17
32 17
33 17
40 17
44 16
44 16
49 14
54 12
56 11
64 9
68 8
70 8
75 6
83 6
86 6
91 6
96 6
99 6
102 8
104 8
.PEN_UP

.SEGMENT CHARACTER 29 OK "2"

.PEN_DOWN
15 88
17 90
17 94
19 98
27 102
31 104
39 110
55 116
59 118
64 120
68 120
74 120
78 120
80 120
80 116
80 114
80 108
80 104
76 90
70 80
66 74
60 62
55 57
47 47
35 31
29 27
23 17
19 15
13 9
9 5
3 0
0 0
0 0
1 5
3 7
9 11
15 15
21 17
29 21
33 21
41 21
45 21
53 21
59 17
60 17
68 13
70 11
74 11
84 9
86 9
92 9
98 9
104 9
108 9
116 11
121 11
125 13
133 15
135 15
137 15
.PEN_UP

.SEGMENT CHARACTER 30 OK "3"

.PEN_DOWN
0 110
2 110
4 114
6 114
10 116
12 118
20 120
34 120
38 120
46 120
52 120
60 118
70 114
74 112
78 110
82 108
84 104
86 102
88 96
88 90
86 90
84 84
82 84
80 80
72 76
70 76
66 74
64 74
58 74
56 74
52 74
56 74
58 74
64 74
68 74
78 72
92 68
98 66
106 60
110 58
118 50
120 48
124 42
126 34
126 32
120 22
118 18
112 12
106 8
98 4
90 0
86 0
76 0
72 0
56 2
46 6
42 6
30 10
28 10
24 12
.PEN_UP

.SEGMENT CHARACTER 31 OK "3"

.PEN_DOWN
0 99
1 99
3 105
7 106
11 108
16 112
22 114
30 118
39 118
46 120
58 120
63 120
67 118
71 116
73 112
75 108
75 103
75 99
73 93
71 90
69 84
63 80
56 75
54 71
48 69
46 67
45 65
41 65
41 69
43 69
46 71
50 71
54 71
61 71
71 71
76 71
80 69
86 67
90 65
93 61
95 58
97 50
97 46
97 41
93 33
90 28
88 22
82 16
76 9
71 7
65 5
60 1
52 1
43 0
37 1
28 3
20 5
16 7
11 7
9 7
.PEN_UP

.SEGMENT CHARACTER 32 OK "3"

.PEN_DOWN
12 112
16 114
24 114
27 116
36 116
44 118
60 120
68 118
73 118
79 116
83 116
88 110
90 107
90 105
92 101
90 99
88 92
84 88
81 83
75 77
68 75
62 72
59 70
53 68
49 68
48 68
44 68
42 68
44 70
46 72
51 72
57 72
60 72
70 72
73 70
81 68
86 64
90 62
94 57
97 53
101 49
103 48
103 42
103 35
103 31
97 25
94 22
84 14
77 11
72 9
62 5
51 3
42 1
36 0
27 0
14 1
11 3
7 3
3 5
0 5
.PEN_UP

.SEGMENT CHARACTER 33 OK "3"

.PEN_DOWN
22 114
24 114
25 116
27 118
30 120
34 120
39 120
48 120
53 120
68 120
73 120
84 118
90 114
94 114
99 109
102 106
104 101
106 99
106 96
102 90
101 89
92 84
89 82
82 78
72 75
68 75
58 75
54 75
51 73
51 73
51 73
54 73
56 73
63 72
66 70
75 66
82 65
84 61
90 58
92 56
97 51
99 48
102 39
102 32
101 29
99 22
97 20
89 12
82 6
77 5
68 3
61 1
42 0
37 0
25 3
15 6
12 8
5 12
3 13
0 13
.PEN_UP

.SEGMENT CHARACTER 34 OK "3"

.PEN_DOWN
4 118
8 118
12 118
22 120
30 120
44 120
52 120
58 120
78 120
82 120
90 116
92 116
94 114
98 108
98 108
96 100
94 98
88 92
84 90
80 88
70 82
66 80
62 78
58 78
54 76
50 76
48 76
48 74
50 74
56 74
60 74
64 74
76 72
80 72
90 68
92 68
96 64
102 60
106 56
108 48
108 46
108 38
108 34
106 26
100 20
98 16
92 10
86 6
82 4
72 0
68 0
58 0
46 0
34 2
28 2
22 4
8 8
6 10
2 10
0 10
.PEN_UP

.SEGMENT CHARACTER 35 OK "3"

.PEN_DOWN
18 110
18 112
20 112
24 114
28 116
37 116
50 120
61 120
69 120
75 120
86 120
91 120
99 116
105 114
108 110
108 110
108 106
105 101
103 99
97 93
91 91
78 84
73 82
69 80
58 76
54 75
46 73
45 73
39 73
41 73
41 73
46 73
50 73
56 73
61 73
73 71
76 69
84 65
91 61
95 58
99 54
101 50
105 41
105 37
103 31
103 28
101 24
93 16
90 13
76 7
73 5
52 1
46 0
39 0
22 1
16 3
9 3
5 5
1 7
0 7
.PEN_UP

.SEGMENT CHARACTER 36 OK "3"

.PEN_DOWN
17 120
19 118
23 118
30 118
37 118
48 118
60 118
68 120
78 118
82 118
91 116
94 116
96 114
102 111
102 109
102 105
102 103
96 100
94 96
91 94
80 87
75 85
68 82
64 82
60 80
55 80
51 78
50 77
50 77
53 77
55 77
59 77
66 73
69 73
77 71
84 66
87 64
94 59
96 55
102 50
102 44
103 37
102 34
102 28
100 21
98 17
89 10
85 7
80 5
71 1
60 0
48 0
42 0
30 1
25 3
14 5
7 7
5 7
0 8
0 8
.PEN_UP

.SEGMENT CHARACTER 37 OK "3"

.PEN_DOWN
32 106
32 108
32 110
38 114
41 114
49 116
53 118
60 120
66 120
80 120
85 120
91 118
93 116
97 114
97 114
99 108
99 108
99 102
97 100
93 93
89 91
81 87
78 85
70 83
68 81
62 80
60 80
62 81
64 81
68 83
72 83
74 83
81 81
85 80
97 76
99 76
104 70
108 68
114 62
116 59
118 51
120 45
118 40
118 34
110 24
106 20
100 13
95 11
80 1
74 1
62 0
51 0
38 0
34 1
19 5
15 5
9 9
5 9
1 11
0 11
.PEN_UP

.SEGMENT CHARACTER 38 OK "3"

.PEN_DOWN
32 109
32 109
32 111
38 113
40 115
46 117
50 117
58 120
63 120
69 120
79 120
85 120
91 117
95 115
99 113
101 109
101 109
101 103
101 101
97 95
89 89
81 85
79 83
73 81
63 79
61 77
50 73
48 73
44 73
42 73
44 73
50 73
52 73
63 73
67 73
77 71
81 69
95 63
99 58
103 56
107 48
109 46
111 38
113 34
111 26
109 20
107 18
97 10
93 6
83 4
77 2
63 0
50 0
42 2
30 4
24 6
14 8
10 10
2 12
0 12
.PEN_UP

.SEGMENT CHARACTER 39 OK "3"

.PEN_DOWN
34 105
34 107
37 109
37 111
41 112
48 114
55 116
64 118
69 118
80 120
89 120
93 120
100 120
102 118
105 116
109 114
111 112
111 109
111 107
111 102
109 96
109 93
105 87
102 85
98 82
89 77
87 77
80 73
78 73
75 73
73 73
71 73
73 75
75 75
80 75
85 73
89 73
98 69
102 68
107 64
112 59
116 53
118 48
120 44
118 35
114 30
111 25
105 17
100 16
85 7
77 1
71 1
60 0
48 0
34 0
23 1
17 1
8 3
7 5
0 7
.PEN_UP

.SEGMENT CHARACTER 40 OK "4"

.PEN_DOWN
32 120
32 118
30 114
28 109
25 104
21 98
20 94
16 87
11 81
8 72
6 69
5 67
1 65
0 62
0 65
0 67
3 70
5 72
8 72
11 74
18 72
20 72
23 70
27 69
30 67
33 65
38 62
43 62
45 62
52 60
59 62
64 64
74 67
77 67
82 70
89 76
94 82
99 91
103 98
103 101
104 106
104 111
103 114
101 111
101 109
99 104
96 98
92 86
91 76
87 65
86 60
84 43
81 33
81 23
79 10
79 6
79 3
79 0
79 5
81 6
.PEN_UP

.SEGMENT CHARACTER 41 OK "4"

.PEN_DOWN
50 120
50 118
46 112
44 109
41 105
37 98
30 87
23 80
21 77
14 69
10 62
7 59
3 57
0 53
1 53
3 57
5 57
10 59
12 60
21 62
25 62
28 62
30 62
34 62
39 60
41 59
44 57
53 55
57 53
60 53
68 53
73 53
77 53
85 57
91 59
100 64
103 68
109 75
116 85
118 89
120 94
121 102
121 105
121 107
118 102
116 96
114 93
111 84
105 68
100 59
98 53
94 44
89 30
87 26
85 19
82 10
80 7
80 3
78 0
80 3
.PEN_UP

.SEGMENT CHARACTER 42 OK "4"

.PEN_DOWN
61 120
58 117
56 113
54 107
50 103
46 92
35 80
29 69
25 65
16 56
10 48
4 42
2 42
0 46
2 50
4 54
4 56
8 58
10 61
12 63
14 63
18 58
23 58
25 56
29 52
35 50
44 48
50 46
58 46
67 46
75 46
80 46
90 48
96 50
101 52
107 58
113 65
122 80
124 84
128 92
130 98
132 103
132 105
134 109
130 107
130 103
126 98
122 90
117 73
113 69
111 56
105 46
103 33
101 29
98 18
96 10
94 8
94 6
94 2
94 0
.PEN_UP

.SEGMENT CHARACTER 43 OK "4"

.PEN_DOWN
60 120
59 120
57 114
57 112
49 104
47 102
41 93
40 89
34 83
30 78
22 70
19 68
9 60
7 59
3 57
3 55
0 55
1 55
5 57
7 57
11 57
13 55
19 55
26 53
34 53
38 53
47 53
51 51
59 51
68 53
76 53
81 55
89 59
93 60
104 70
106 74
110 81
112 85
116 95
116 95
116 100
116 102
114 100
112 99
110 93
106 89
104 80
100 72
95 60
95 57
91 47
89 43
87 30
85 26
83 19
83 15
81 9
80 5
78 1
78 0
.PEN_UP

.SEGMENT CHARACTER 44 OK "4"

.PEN_DOWN
60 120
59 116
57 112
51 104
47 98
41 90
35 82
29 74
27 70
23 66
17 60
13 59
5 53
3 51
1 51
0 51
0 51
1 55
3 57
7 59
9 59
11 60
13 60
15 60
23 59
25 59
31 57
33 55
39 53
43 53
49 53
55 53
57 53
62 55
64 55
72 60
76 62
88 74
92 80
94 84
100 96
102 98
106 110
108 112
108 116
106 112
102 110
98 100
94 92
86 80
84 70
76 57
72 45
70 39
66 25
64 21
62 9
60 5
60 3
59 0
.PEN_UP

.SEGMENT CHARACTER 45 OK "4"

.PEN_DOWN
39 120
39 118
39 115
36 110
34 107
31 101
28 97
26 94
17 83
15 80
11 74
9 72
7 69
4 66
3 64
1 63
0 63
0 66
1 66
3 67
4 67
7 67
11 67
14 67
17 66
25 66
28 64
34 64
37 63
42 63
45 63
48 63
56 64
60 66
66 69
69 72
72 74
77 78
78 82
85 93
86 96
90 102
90 105
90 105
90 107
90 104
86 97
83 93
82 88
75 72
74 66
69 53
66 44
63 33
61 28
60 23
56 11
55 7
53 3
53 0
.PEN_UP

.SEGMENT CHARACTER 46 OK "4"

.PEN_DOWN
42 120
40 117
39 112
37 105
36 102
28 90
27 85
22 78
21 75
15 67
12 64
7 58
3 54
1 51
0 51
0 52
3 55
4 57
7 58
9 58
13 58
16 58
19 58
25 58
28 57
34 57
37 57
43 57
49 57
54 57
57 57
60 58
64 61
69 64
73 69
76 73
79 81
82 85
84 93
85 100
87 105
88 106
88 108
85 103
85 100
82 93
81 88
76 76
75 70
70 58
67 51
66 45
63 34
60 25
55 16
55 12
52 7
51 3
49 0
49 0
.PEN_UP

.SEGMENT CHARACTER 47 OK "4"

.PEN_DOWN
45 120
44 118
42 112
38 105
38 100
37 97
30 82
28 79
22 72
19 68
17 65
12 58
10 54
3 49
1 47
0 45
0 47
0 49
1 51
3 51
5 52
10 54
12 54
19 54
21 54
24 54
37 54
40 54
47 54
51 54
54 56
63 58
70 63
79 68
82 72
86 75
91 86
93 91
97 104
97 105
97 109
97 111
95 109
93 104
90 100
88 95
84 84
82 77
77 58
75 51
74 45
70 35
70 30
67 15
67 12
65 8
63 5
63 3
63 0
61 0
.PEN_UP

.SEGMENT CHARACTER 48 OK "4"

.PEN_DOWN
41 120
41 116
41 113
40 112
36 105
35 100
32 96
30 92
27 86
24 80
19 75
17 72
11 67
9 67
4 64
3 62
0 62
0 62
1 62
4 62
8 62
14 62
17 62
25 60
28 60
40 62
44 62
51 62
54 64
60 65
64 67
72 72
76 76
78 80
81 84
83 88
84 94
86 99
86 104
86 105
86 108
86 105
84 102
84 100
83 94
81 91
76 78
73 68
72 64
67 54
64 44
60 35
59 32
56 24
56 20
51 11
49 8
48 4
48 3
44 0
.PEN_UP

.SEGMENT CHARACTER 49 OK "4"

.PEN_DOWN
29 119
29 117
29 115
29 109
28 108
25 100
25 96
20 88
17 84
13 78
13 75
8 71
7 69
2 65
1 65
0 65
0 65
1 66
2 68
7 68
8 68
13 68
16 68
25 66
28 66
35 65
40 65
45 65
48 66
54 66
57 68
62 71
68 74
68 77
72 81
74 85
75 93
77 96
78 106
78 108
78 111
78 112
77 111
75 109
74 103
71 96
68 88
66 84
62 69
60 65
59 54
57 50
53 35
51 31
50 20
47 13
47 7
45 5
45 1
44 0
.PEN_UP

